Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Completion Year,Tenure Type,Property Type,Floor Range,Land Title,State,price,Facility_Barbeque area,Facility_Club house,Facility_Gymnasium,Facility_Jogging Track,Facility_Lift,Facility_Minimart,Facility_Multipurpose hall,Facility_Parking,Facility_Playground,Facility_Sauna,Facility_Security,Facility_Squash Court,Facility_Swimming Pool,Facility_Tennis Court,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Bus_Stop,Has_Highway,Has_Railway_Station,Has_Nearby_School,Has_Nearby_Mall,Has_Nearby_Railway_Station
3.0,2.0,700.0,22.0,754.0,1.0,2008.0,Leasehold,Condominium,High,Non Bumi Lot,Penang,388000.0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1.0,1.0,614.0,11.0,488.0,1.0,2015.0,Freehold,Condominium,Low,Non Bumi Lot,Johor,355000.0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,600.0,,,0.0,,Leasehold,Apartment,High,Non Bumi Lot,-,238000.0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,700.0,,,1.0,,Freehold,Apartment,Low,Non Bumi Lot,-,400000.0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1000.0,,,2.0,,Freehold,Condominium,Low,Non Bumi Lot,Penang,505000.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1049.0,12.0,196.0,1.0,2007.0,Leasehold,Apartment,-,Bumi Lot,Selangor,380000.0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1
3.0,2.0,700.0,30.0,500.0,1.0,2012.0,Freehold,Apartment,High,Non Bumi Lot,Penang,325000.0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,530.0,,,0.0,,Freehold,Flat,High,Non Bumi Lot,Penang,200000.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,600.0,4.0,352.0,0.0,,Leasehold,Apartment,Low,Bumi Lot,Sabah,195000.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,1433.0,20.0,300.0,2.0,2010.0,Freehold,Condominium,-,Non Bumi Lot,Selangor,350000.0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,,,1.0,,Freehold,Apartment,-,Non Bumi Lot,Selangor,170000.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3.0,2.0,743.0,,,1.0,,Freehold,Apartment,Low,Non Bumi Lot,Selangor,220000.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,750.0,,,0.0,,Leasehold,Apartment,Low,Bumi Lot,Selangor,210000.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
